UTC time string, UTC time with nanoseconds integer, local time string, UTC time string, elapsed_time, UTC time integer, monotonic seconds, monotonic nanoseconds
2017-01-04T21:16:24.930227602Z, 20170104211624930227602, 2017-01-04T16:16:24.930227602-05:00, 2017-01-04T21:16:24.930227602Z, 0, 20170104211624, 99023, 406781719
2017-01-04T21:16:24.930260103Z, 20170104211624930260103, 2017-01-04T16:16:24.930260103-05:00, 2017-01-04T21:16:24.930260103Z, 0, 20170104211624, 99023, 406814332
2017-01-04T21:16:24.930277280Z, 20170104211624930277280, 2017-01-04T16:16:24.930277280-05:00, 2017-01-04T21:16:24.930277280Z, 0, 20170104211624, 99023, 406831502
2017-01-04T21:16:24.930294111Z, 20170104211624930294111, 2017-01-04T16:16:24.930294111-05:00, 2017-01-04T21:16:24.930294111Z, 0, 20170104211624, 99023, 406848346
2017-01-04T21:16:24.930310755Z, 20170104211624930310755, 2017-01-04T16:16:24.930310755-05:00, 2017-01-04T21:16:24.930310755Z, 0, 20170104211624, 99023, 406864991
2017-01-04T21:16:24.930327341Z, 20170104211624930327341, 2017-01-04T16:16:24.930327341-05:00, 2017-01-04T21:16:24.930327341Z, 0, 20170104211624, 99023, 406881577
2017-01-04T21:16:24.930343866Z, 20170104211624930343866, 2017-01-04T16:16:24.930343866-05:00, 2017-01-04T21:16:24.930343866Z, 0, 20170104211624, 99023, 406898102
2017-01-04T21:16:24.930360440Z, 20170104211624930360440, 2017-01-04T16:16:24.930360440-05:00, 2017-01-04T21:16:24.930360440Z, 0, 20170104211624, 99023, 406914677
2017-01-04T21:16:24.930376954Z, 20170104211624930376954, 2017-01-04T16:16:24.930376954-05:00, 2017-01-04T21:16:24.930376954Z, 0, 20170104211624, 99023, 406931184
2017-01-04T21:16:24.930393458Z, 20170104211624930393458, 2017-01-04T16:16:24.930393458-05:00, 2017-01-04T21:16:24.930393458Z, 0, 20170104211624, 99023, 406947694
2017-01-04T21:16:25.000061365Z, 20170104211625000061365, 2017-01-04T16:16:25.000061365-05:00, 2017-01-04T21:16:25.000061365Z, 1, 20170104211625, 99023, 476614594
2017-01-04T21:16:25.100106679Z, 20170104211625100106679, 2017-01-04T16:16:25.100106679-05:00, 2017-01-04T21:16:25.100106679Z, 1, 20170104211625, 99023, 576659813
2017-01-04T21:16:25.200079418Z, 20170104211625200079418, 2017-01-04T16:16:25.200079418-05:00, 2017-01-04T21:16:25.200079418Z, 1, 20170104211625, 99023, 676632439
2017-01-04T21:16:25.300083759Z, 20170104211625300083759, 2017-01-04T16:16:25.300083759-05:00, 2017-01-04T21:16:25.300083759Z, 1, 20170104211625, 99023, 776636730
2017-01-04T21:16:25.400090556Z, 20170104211625400090556, 2017-01-04T16:16:25.400090556-05:00, 2017-01-04T21:16:25.400090556Z, 1, 20170104211625, 99023, 876643321
2017-01-04T21:16:25.500076645Z, 20170104211625500076645, 2017-01-04T16:16:25.500076645-05:00, 2017-01-04T21:16:25.500076645Z, 1, 20170104211625, 99023, 976629761
2017-01-04T21:16:25.600078086Z, 20170104211625600078086, 2017-01-04T16:16:25.600078086-05:00, 2017-01-04T21:16:25.600078086Z, 1, 20170104211625, 99024, 76630985
2017-01-04T21:16:25.700078056Z, 20170104211625700078056, 2017-01-04T16:16:25.700078056-05:00, 2017-01-04T21:16:25.700078056Z, 1, 20170104211625, 99024, 176631102
2017-01-04T21:16:25.800069275Z, 20170104211625800069275, 2017-01-04T16:16:25.800069275-05:00, 2017-01-04T21:16:25.800069275Z, 1, 20170104211625, 99024, 276622346
2017-01-04T21:16:25.900100992Z, 20170104211625900100992, 2017-01-04T16:16:25.900100992-05:00, 2017-01-04T21:16:25.900100992Z, 1, 20170104211625, 99024, 376653692
2017-01-04T21:16:26.000068400Z, 20170104211626000068400, 2017-01-04T16:16:26.000068400-05:00, 2017-01-04T21:16:26.000068400Z, 2, 20170104211626, 99024, 476621217
2017-01-04T21:16:26.100068727Z, 20170104211626100068727, 2017-01-04T16:16:26.100068727-05:00, 2017-01-04T21:16:26.100068727Z, 2, 20170104211626, 99024, 576621659
2017-01-04T21:16:26.200068719Z, 20170104211626200068719, 2017-01-04T16:16:26.200068719-05:00, 2017-01-04T21:16:26.200068719Z, 2, 20170104211626, 99024, 676621736
2017-01-04T21:16:26.300070205Z, 20170104211626300070205, 2017-01-04T16:16:26.300070205-05:00, 2017-01-04T21:16:26.300070205Z, 2, 20170104211626, 99024, 776623197
2017-01-04T21:16:26.400122157Z, 20170104211626400122157, 2017-01-04T16:16:26.400122157-05:00, 2017-01-04T21:16:26.400122157Z, 2, 20170104211626, 99024, 876675381
2017-01-04T21:16:26.500072694Z, 20170104211626500072694, 2017-01-04T16:16:26.500072694-05:00, 2017-01-04T21:16:26.500072694Z, 2, 20170104211626, 99024, 976625454
2017-01-04T21:16:26.600085995Z, 20170104211626600085995, 2017-01-04T16:16:26.600085995-05:00, 2017-01-04T21:16:26.600085995Z, 2, 20170104211626, 99025, 76639137
2017-01-04T21:16:26.700068336Z, 20170104211626700068336, 2017-01-04T16:16:26.700068336-05:00, 2017-01-04T21:16:26.700068336Z, 2, 20170104211626, 99025, 176621238
2017-01-04T21:16:26.800063281Z, 20170104211626800063281, 2017-01-04T16:16:26.800063281-05:00, 2017-01-04T21:16:26.800063281Z, 2, 20170104211626, 99025, 276616078
2017-01-04T21:16:26.900132037Z, 20170104211626900132037, 2017-01-04T16:16:26.900132037-05:00, 2017-01-04T21:16:26.900132037Z, 2, 20170104211626, 99025, 376684884
